exp,source,target,t_dijkstra,t_floyd
0,18,30,5.2038999911019346e-05,0.02678946799960613
1,25,7,8.223399981943658e-05,0.027124204999836365
2,0,30,8.264500002042041e-05,0.028905719999784196
3,15,26,0.00012761200014210772,0.027078867999989598
4,39,38,6.49109997539199e-05,0.026231122999888612
5,28,40,8.751499990466982e-05,0.02626447900001949
6,40,49,7.261300015670713e-05,0.0273120580000068
7,17,37,9.777700006452505e-05,0.027276470999822777
8,42,13,7.3133000114467e-05,0.026320987999952195
9,18,49,8.93350002115767e-05,0.02607270599992262
10,5,19,7.096299987097154e-05,0.02744345000019166
11,11,40,0.00011264000022492837,0.026622299999871757
12,29,17,5.620000001727021e-05,0.02673897000022407
13,13,45,6.731199982823455e-05,0.026433358000303997
14,40,30,8.73049998517672e-05,0.02669482200008133
15,30,12,6.209000002854737e-05,0.026122894999843993
16,35,15,6.688099983875873e-05,0.02683281600002374
17,11,17,5.0148999889643164e-05,0.026633462000063446
18,23,42,6.836200009274762e-05,0.027176974000212795
19,19,17,2.8355000267765718e-05,0.02600278399995659
20,45,18,9.135600021181745e-05,0.026907808000032674
21,39,17,5.010900031265919e-05,0.02653635500018936
22,36,4,0.00012404099970808602,0.026517841999975644
23,21,14,9.94170000012673e-05,0.026635983000232955
24,43,11,7.208200031527667e-05,0.026720867000221915
25,41,2,7.77840000409924e-05,0.026175092999892513
26,11,36,0.00010028699989561574,0.02659984699994311
27,39,11,0.00010136799983229139,0.026485245999992912
28,49,43,7.499299999835785e-05,0.027007716000298387
29,36,28,8.811499992589233e-05,0.026411194000047544
30,47,45,4.247700007908861e-05,0.026653524999801448
31,26,17,3.135499991913093e-05,0.026316078000036214
32,26,39,6.141100038803415e-05,0.0266807200000585
33,42,2,6.263000022954657e-05,0.026507710000259976
34,49,31,7.906300015747547e-05,0.026638149000064004
35,29,31,4.5977999889146304e-05,0.026431704000060563
36,35,6,0.00011280899980192771,0.026421722000122827
37,12,20,9.743700002218247e-05,0.026415580000048067
38,20,3,5.5500000144093065e-05,0.02630084100019303
