exp,source,target,edges,density,t_dijkstra,t_floyd
0,15,6,141,0.7421052631578947,2.7339999860487296e-05,0.0013830679999955464
1,18,2,142,0.7473684210526316,1.8519999912314233e-05,0.0013754180001797067
2,18,0,149,0.7842105263157895,1.988999997593055e-05,0.001341117000038139
3,7,8,153,0.8052631578947368,3.1969999781722436e-05,0.0013472580001234746
4,16,18,153,0.8052631578947368,3.587000014704245e-05,0.0013748970000051486
5,12,16,147,0.7736842105263158,3.598000012061675e-05,0.0013749879999522818
6,4,0,145,0.7631578947368421,2.8690000135611626e-05,0.0014038570000138861
7,2,16,149,0.7842105263157895,2.658099992913776e-05,0.0013480369998433162
8,17,8,144,0.7578947368421053,2.9250000125102815e-05,0.0013979770001242287
9,2,19,135,0.7105263157894737,3.154000000904489e-05,0.0013751569999840285
10,13,13,145,0.7631578947368421,5.7899999319488415e-06,0.0013707380001051206
11,13,6,145,0.7631578947368421,4.080000007888884e-05,0.0014154469999994035
12,14,7,140,0.7368421052631579,2.3720000172033906e-05,0.0013978769998175267
13,12,8,141,0.7421052631578947,5.1980000080220634e-05,0.0014088079999510228
14,6,3,146,0.7684210526315789,1.86499999017542e-05,0.00136896699996214
15,16,2,145,0.7631578947368421,1.9459999975879327e-05,0.0013616470000670233
16,12,8,157,0.8263157894736842,2.9269999913594802e-05,0.0013467769999806478
17,3,9,139,0.7315789473684211,3.3779999967009644e-05,0.0013760479998836672
18,5,2,148,0.7789473684210526,3.461999995124643e-05,0.0013673969999672408
19,1,5,145,0.7631578947368421,2.325000014025136e-05,0.001344128000027922
20,5,11,141,0.7421052631578947,2.897000013035722e-05,0.0013910269999541924
21,2,7,136,0.7157894736842105,4.1211000052499e-05,0.0013824069999373023
22,3,3,145,0.7631578947368421,7.000000096013537e-06,0.0013343869998152513
23,4,8,155,0.8157894736842105,4.981100005352346e-05,0.0013814470000852452
24,18,15,152,0.8,2.5430000050619128e-05,0.0013477079999120178
25,0,1,149,0.7842105263157895,2.4799999891911284e-05,0.0014352779999171617
26,0,10,143,0.7526315789473684,1.8460000092090922e-05,0.0013948470000286761
27,13,10,142,0.7473684210526316,4.4741000010617427e-05,0.001374246999830575
28,14,4,147,0.7736842105263158,2.298999993399775e-05,0.0013712069999201049
29,10,1,148,0.7789473684210526,3.268999989813892e-05,0.0013618180000776192
30,10,5,150,0.7894736842105263,4.656999999497202e-05,0.0013996779998706188
